items,item_type,esdc_domain,edit_type,edit_reason,LMIC_Label,March_4_add,edit_type_software
Call tracking software,Tools and technology,Tools and technology,Tools and technology,,Call tracking software,0,Tech - Software
Camcorders,Tools and technology,Tools and technology,Tools and technology,,Camcorders,0,Tools and technology
Camera lenses,Tools and technology,Tools and technology,Tools and technology,,Camera lenses,0,Tools and technology
CAML (Collaborative Application Markup Language),Knowledge,Knowledge,Tools and technology,,CAML (Collaborative Application Markup Language),0,Tech - Software
Campaign Monitor,Tools and technology,Tools and technology,Tools and technology,,Campaign Monitor,0,Tech - Software
Can openers,Tools and technology,Tools and technology,Tools and technology,,Can openers,0,Tools and technology
Cantonese language,Knowledge,Knowledge,Knowledge,,Cantonese language,0,Knowledge
Capacity planning software,Technologies,,Tools and technology,,Capacity planning software,1,Tech - Software
Cappers,Tools and technology,Tools and technology,Tools and technology,,Cappers,0,Tools and technology
Car hoists,Tools and technology,Tools and technology,Tools and technology,,Car hoists,0,Tools and technology
Card readers,Tools and technology,Tools and technology,Tools and technology,,Card readers,0,Tools and technology
Cardiac monitoring equipment,Tools and Equipment,,Tools and technology,,Cardiac monitoring equipment,1,Tools and technology
Cardiac monitors,Tools and technology,Tools and technology,Tools and technology,,Cardiac monitoring equipment,0,Tools and technology
Career Cruising,Tools and technology,Tools and technology,Tools and technology,,Career Cruising,0,Tech - Software
Career Zone,Tools and technology,Tools and technology,Tools and technology,,Career Zone,0,Tech - Software
Carousels,Tools and technology,Tools and technology,Tools and technology,,Carousels,0,Tools and technology
Carpet steamers,Tools and technology,Tools and technology,Tools and technology,,Carpet steamers,0,Tools and technology
Cascading Style Sheets (CSS),Tools and technology,Tools and technology,Tools and technology,,Cascading Style Sheets (CSS),0,Tech - Software
Case management software,Tools and technology,Tools and technology,Tools and technology,,Case management software,0,Tech - Software
CaseWare Working Papers,Tools and technology,Tools and technology,Tools and technology,,CaseWare Working Papers,0,Tech - Software
Cash drawers,Tools and technology,Tools and technology,Tools and technology,,Cash drawers,0,Tools and technology
Cash handling,Other,Work activities,Other,,Cash handling,0,Other
Catalytic converters,Tools and technology,Tools and technology,Tools and technology,,Catalytic converters,0,Tools and technology
Catheters,Tools and technology,Tools and technology,Tools and technology,,Catheters,0,Tools and technology
CATIA,Tools and technology,Tools and technology,Tools and technology,,CATIA,0,Tech - Software
CATIA V5,Tools and technology,Tools and technology,Tools and technology,,CATIA,0,Tech - Software
Cell culture bioreactors,Tools and technology,Tools and technology,Tools and technology,,Cell culture bioreactors,0,Tools and technology
Centrifugal compressors,Tools and technology,Tools and technology,Tools and technology,,Centrifugal compressors,0,Tools and technology
Centrifugal pumps,Tools and technology,Tools and technology,Tools and technology,,Centrifugal pumps,0,Tools and technology
Centrifuges,Tools and technology,Tools and technology,Tools and technology,,Centrifuges,0,Tools and technology
Ceridian,Tools and technology,Tools and technology,Tools and technology,payroll software,Ceridian,0,Tech - Software
Cerner Millennium,Tools and technology,Tools and technology,Tools and technology,Electronic health/medical record software,Cerner Millennium,0,Tech - Software
Cerner PowerChart,Tools and technology,Tools and technology,Tools and technology,,Cerner PowerChart,0,Tech - Software
Chain falls,Tools and technology,Tools and technology,Tools and technology,,Chain hoists,0,Tools and technology
Chain hoists,Tools and technology,Tools and technology,Tools and technology,,Chain hoists,0,Tools and technology
Chain saws,Tools and technology,Tools and technology,Tools and technology,,Chainsaws,0,Tools and technology
Chain slings,Tools and technology,Tools and technology,Tools and technology,,Chain slings,0,Tools and technology
Chainsaws,Tools and technology,Tools and technology,Tools and technology,,Chainsaws,0,Tools and technology
Chair lifts,Tools and technology,Tools and technology,Tools and technology,,Chair lifts,0,Tools and technology
Chalk lines,Tools and technology,Tools and technology,Tools and technology,,Chalk lines,0,Tools and technology
Change Management,Other,?,Knowledge,"IT software  Actually more of a managerial approach, but should probably be lower case ""m""",Change management,0,Knowledge
Character Studio,Tools and technology,Tools and technology,Tools and technology,,Character Studio,0,Tech - Software
Charting software,Tools and technology,Tools and technology,Tools and technology,,Charting software,0,Tech - Software
Chat software,Tools and technology,Tools and technology,Tools and technology,,Chat software,0,Tech - Software
Chemical baths,Tools and technology,Tools and technology,Tools and technology,,Chemical baths,0,Tools and technology
Chemical mechanical polishing CMP systems,Tools and technology,Tools and technology,Knowledge,Could be tool or knowledge,Chemical mechanical polishing CMP systems,0,Knowledge
Chemical sprayers,Tools and technology,Tools and technology,Tools and technology,,Chemical sprayers,0,Tools and technology
Cherry pickers,Other,?,Tools and technology,Type of construction equipment,Cherry pickers,0,Tools and technology
Chest tubes,Tools and technology,Tools and technology,Tools and technology,,Chest tubes,0,Tools and technology
Chinese language,Knowledge,Knowledge,Knowledge,,Chinese language,0,Knowledge
Chinois,Other,?,Knowledge,French word for Chinese,Chinese language,0,Knowledge
Chip design software,Tools and technology,Tools and technology,Tools and technology,,Chip design software,0,Tech - Software
Chippers,Tools and technology,Tools and technology,Tools and technology,,Chippers,0,Tools and technology
Chock blocks,Tools and technology,Tools and technology,Tools and technology,,Wheel chocks,0,Tools and technology
Chokers,Tools and Equipment,,Tools and technology,Maybe this is a chock  block?,Chokers,1,Tools and technology
Chop saws,Tools and technology,Tools and technology,Tools and technology,,Chop saws,0,Tools and technology
Cimatron,Tools and technology,Tools and technology,Tools and technology,,Cimatron,0,Tech - Software
Circuit breakers,Tools and technology,Tools and technology,Tools and technology,,Circuit breakers,0,Tools and technology
Circuit testers,Tools and technology,Tools and technology,Tools and technology,,Circuit testers,0,Tools and technology
Circular saws,Tools and technology,Tools and technology,Tools and technology,,Circular saws,0,Tools and technology
Circulating pumps,Tools and technology,Tools and technology,Tools and technology,,Circulating pumps,0,Tools and technology
Cisco,Tools and technology,Tools and technology,Tools and technology,,Cisco,0,Tech - Software
Cisco AnyConnect,Tools and technology,Tools and technology,Tools and technology,,Cisco,0,Tech - Software
Cisco Systems CiscoWorks,Tools and technology,Tools and technology,Tools and technology,,Cisco,0,Tech - Software
Cisco Systems VPN Client,Tools and technology,Tools and technology,Tools and technology,,Cisco,0,Tech - Software
Cisco Systems WebEx,Tools and technology,Tools and technology,Tools and technology,,Cisco,0,Tech - Software
Citrix,Tools and technology,Tools and technology,Tools and technology,,Citrix software,0,Tech - Software
Citrix GoToMeeting,Tools and technology,Tools and technology,Tools and technology,,Citrix software,0,Tech - Software
Citrix XenApp,Tools and technology,Tools and technology,Tools and technology,,Citrix software,0,Tech - Software
Clarizen,Tools and technology,Tools and technology,Tools and technology,,Clarizen,0,Tech - Software
Client databases,Tools and technology,Tools and technology,Tools and technology,,Client databases,0,Tech - Software
Client System,Tools and technology,Tools and technology,Tools and technology,,Client System,0,Tech - Software
Clinical scales,Tools and technology,Tools and technology,Tools and technology,,Clinical scales,0,Tools and technology
Clipper,Tools and technology,Tools and technology,Tools and technology,,Clipper,0,Tools and technology
Closed circuit television CCTV systems,Tools and technology,Tools and technology,Tools and technology,,Closed circuit television CCTV systems,0,Tech - Software
Closed circuit television systems,Tools and technology,Tools and technology,Tools and technology,,Closed circuit television CCTV systems,0,Tech - Software
Cloud Computing,Knowledge,Knowledge,Tools and technology,,Cloud Computing,0,Tech - Software
Cloudera,Tools and technology,Tools and technology,Tools and technology,,Cloudera,0,Tech - Software
CMAKE,Tools and technology,Tools and technology,Tools and technology,,CMake,0,Tech - Software
CNC Machining,Other,Work activities,Tools and technology,,CNC Machining,0,Tools and technology
CNC Mastercam,Tools and technology,Tools and technology,Tools and technology,Software used to in CNC machines,CNC Mastercam,0,Tech - Software
Coarse wavelength division multiplexing (CWDM),Tools and technology,Tools and technology,Tools and technology,,Coarse wavelength division multiplexing (CWDM),0,Tools and technology
COBIT,Knowledge,Knowledge,Knowledge,,Control Objectives for Information and Related Technology COBIT,0,Knowledge
COBOL (Common business oriented language),Knowledge,Knowledge,Tools and technology,,COBOL (Common business oriented language),0,Tech - Software
Code libraries,Knowledge,Knowledge,Knowledge,,Code libraries,0,Knowledge
Coding skills,Skills,Skills,Skills,,Coding skills,0,Skills
Coin counting machines,Tools and technology,Tools and technology,Tools and technology,,Coin counting machines,0,Tools and technology
Cold packs,Tools and technology,Tools and technology,Tools and technology,,Cold packs,0,Tools and technology
Cold rooms,Tools and technology,Tools and technology,Tools and technology,,Cold rooms,0,Tools and technology
Collaborative application lifecycle management ALM software,Tools and technology,Tools and technology,Tools and technology,,Collaborative application lifecycle management ALM software,0,Tech - Software
Combustible gas meters,Tools and technology,Tools and technology,Tools and technology,,Combustible gas meters,0,Tools and technology
Combustion engines,Tools and technology,Tools and technology,Tools and technology,,Combustion engines,0,Tools and technology
Commercial dishwashers,Tools and technology,Tools and technology,Tools and technology,,Commercial dishwashers,0,Tools and technology
Commercial sewing machines,Tools and technology,Tools and technology,Tools and technology,,Commercial sewing machines,0,Tools and technology
